,,,,,,
1,1,Wo gibt es Kleidung für Kinder?,Im 4. Stock,Im 2.Stock,Im 1.Stock,1,test1/1.mp3
1,2,Was bestellt die Dame?,Fisch,Salat,Hänchen,1,test1/2.mp3
1,3,Wie lange hat das Museum mittwochs geöffnet?,Bis 15 Uhr,Bis 22 Uhr,Bis 18 Uhr,0,test1/3.mp3
1,4,Welchen Sport empfiehlt der Arzt?,Fußball,Laufen,Schwimmen,2,test1/4.mp3
1,5,Wo macht Familie Bauer Urlaub?,Am Meer,Zu Hause,Bei Verwandten,2,test1/5.mp3
1,6,Wie lange dauert der Flug nach München?,50 Minuten,45 Minuten,30 Minuten,0,test1/6.mp3
0,7,Im Restaurant gibt es eine Geburtstagsfeier.,Falsch,Richtig,,0,test1/7.mp3
0,8,Die Leute sollen zu Hause bleiben.,Falsch,Richtig,,1,test1/8.mp3
0,9,Die Urlauber sollen um 14 Uhr am Bus sein.,Falsch,Richtig,,1,test1/9.mp3
0,10,Der Vater von Mario wartet am Informationsschalter.,Falsch,Richtig,,0,test1/10.mp3
1,11,Wann kann Frau Krause ihren Wagen abholen?,Am Samstagnachmittag,Am Vormittag,Zwischen 12 und 13 Uhr,1,test1/11.mp3
1,12,Was mochte Nina heute Abend machen?,Einen Film sehen,Lernen,Zu Hause bleiben,0,test1/12.mp3
1,13,Was soll Sarah mitbringen?,Blumen,Ein Wörterbuch,CDs,1,test1/13.mp3
1,14,Wo treffen sich die drei Frauen?,Bei Julia,Im Konzert,In der Disco,2,test1/14.mp3
1,15,Wann will Herr Heinze Frau Solms treffen?,Um 12 Uhr,Um 13 Uhr,Um 18 Uhr,1,test1/15.mp3
